Date,Epicentral Area,Magnitude,Latitude,Longitude
1916-11-16,Appennino umbro-reatino,5.5,42.646,13.168
1917-04-26,Valtiberina,5.9,43.468,12.129
1917-05-12,Ternano,5.1,42.591,12.641
1918-11-10,Appennino romagnolo,5.9,43.918,11.933
1919-06-29,Mugello,6.3,43.958,11.482
1919-09-10,Toscana meridionale,5.3,42.822,11.764
1919-10-22,Litorale pontino,5.3,41.538,12.684
1920-09-07,Garfagnana,6.5,44.186,10.277
1924-01-02,Medio Adriatico,5.3,43.737,13.14
1925-09-24,Molise occidentale,5.1,41.72,14.188
1926-01-01,Slovenia,5.9,45.763,14.282
1928-03-27,Friuli,5.8,46.38,12.984
1929-04-10,Bolognese,5.2,44.426,11.475
1929-04-19,Bolognese,5.3,44.484,11.2
1929-04-20,Bolognese,5.4,44.478,11.138
1929-04-22,Bolognese,5.0,44.478,11.128
1929-04-29,Bolognese,5.1,44.489,11.099
1929-05-11,Bolognese,5.2,44.482,11.118
1929-07-18,Mugello,5.0,43.989,11.507
1930-07-23,Irpinia,6.7,41.064,15.344
1930-10-30,Marche settentrionali,5.8,43.674,13.274
1932-02-19,Monte Baldo,5.1,45.633,10.729
1933-09-26,Maiella,6.0,42.08,14.093
1934-11-30,Alto Adriatico,5.2,44.556,13.722
1935-03-19,Alpi Cozie,5.3,44.651,6.632
1936-10-18,Alpago-Cansiglio,6.2,46.032,12.411
1938-07-02,Basso Adriatico,5.1,42.172,17.549
1938-07-18,Alpi Cozie,5.3,44.593,6.735
1940-01-15,Golfo di Palermo,5.3,38.076,13.428
1941-05-22,Stromboli (ME),5.4,38.806,15.235
1943-10-03,Marche meridionali-Abruzzo,5.8,42.91,13.651
1945-06-29,Valle Staffora,5.2,44.831,9.13
1947-05-11,Calabria centrale,5.7,38.653,16.518
1948-06-13,Valtiberina,5.1,43.582,12.14
1948-08-18,Puglia settentrionale,5.5,41.552,15.813
1948-08-21,Puglia settentrionale,5.3,41.614,15.739
1948-08-22,Puglia settentrionale,5.5,41.441,15.812
1951-05-15,Pianura Padana,5.4,45.252,9.601
1952-07-04,Appennino romagnolo,5.0,43.981,11.882
1954-05-19,Vallese,5.0,46.086,7.095
1956-05-26,Appennino romagnolo,5.0,43.939,11.896
1958-06-24,L’Aquila,5.2,42.34,13.478
1959-04-05,Valle dell’Ubaye,5.2,44.488,6.712
1959-04-26,Carnia,5.2,46.467,13.043
1960-03-23,Vallese,5.3,46.347,7.98
1960-10-29,Mugello,5.0,43.999,11.385
1961-10-31,Valle del Velino,5.1,42.396,13.042
1962-08-21,Irpinia,6.1,41.231,14.953
1963-07-19,Mar Ligure,5.4,43.923,8.065
1967-10-31,Monti Nebrodi,5.6,37.862,14.413
1968-01-15,Valle del Belice,5.6,37.76,13.001
1968-01-15,Valle del Belice,6.5,37.76,12.987
1969-04-17,Lazio meridionale,5.1,41.572,13.788
1971-02-06,Tuscania (VT),5.2,42.443,11.846
1971-07-15,Parmense,5.7,44.815,10.344
1972-02-04,Medio Adriatico,5.3,43.591,13.295
1972-02-04,Medio Adriatico,5.4,43.589,13.283
1972-02-05,Medio Adriatico,5.2,43.656,13.329
1972-02-06,Medio Adriatico,5.1,43.604,13.507
1972-06-14,Medio Adriatico,5.5,43.581,13.415
1974-12-02,Valnerina,5.2,42.814,12.927
1975-01-16,Stretto di Messina,5.3,38.115,15.643
1976-05-06,Friuli,6.5,46.235,13.057
1976-09-11,Friuli,5.7,46.273,13.176
1976-09-15,Friuli,6.1,46.259,13.11
1978-03-11,Calabria meridionale,5.5,38.011,15.976
1978-04-15,Golfo di Patti,5.7,38.125,15.022
1979-09-19,Valnerina,5.8,42.717,13.075
1980-11-23,Irpinia-Basilicata,6.7,40.843,15.283
1980-12-23,Piacentino,5.2,44.802,9.757
1982-03-21,Golfo di Policastro,5.4,40.008,15.766
1983-11-09,Parmense,5.3,44.756,10.265
