File downloaded from CFTI5Med
E. Guidoboni, G. Ferrari, D. Mariotti, A. Comastri, G. Tarabusi, G. Sgattoni, G. Valensise (2018) - CFTI5Med, Catalogo dei Forti Terremoti in Italia (461 a.C.-1997) e nell’area Mediterranea (760 a.C.-1500). Istituto Nazionale di Geofisica e Vulcanologia (INGV). http://storing.ingv.it/cfti/cfti5/

Date;Time;Io (Epicentral intensity - MCS scale);Imax (Maximum intensity - MCS scale);NMO (Number of Macroseismic Observations);Me (Equivalent magnitude based on macroseismic observations);Latitude;Longitude;Epicentral Area;Notes;Review Level
1829 06 01;09:00;7;7;25;4.8;41.755;12.680;Colli Albani;;LOW
1831 05 26;10:30;8;8.5;33;5.5;43.856;7.849;Liguria occidentale;;MEDIUM
1831 09 11;18:15;7.5;7.5;25;5.5;44.753;10.544;Reggiano;;HIGH
1831 09 13;05:30;6;6;7;4.7;44.651;10.473;Reggiano;;HIGH
1832 01 13;13:00;10;10;101;6.3;42.980;12.605;Valle del Topino;;MEDIUM
1832 03 08;18:30;10;10;99;6.6;39.080;16.919;Crotonese;;HIGH
1832 03 13;03:30;7.5;7.5;97;5.5;44.765;10.493;Reggiano;;HIGH
1834 02 14;13:15;9;9;112;5.8;44.433;9.851;Valle del Taro-Lunigiana;;MEDIUM
1834 07 04;00:45;6.5;7;24;5.2;44.530;9.948;Lunigiana-Parmense;;MEDIUM
1834 10 04;19:00;6;6;12;4.9;44.480;11.319;Bolognese;;MEDIUM
1835 02 06;18:50;6;6.5;5;4.7;43.962;11.416;Mugello;;LOW
1835 05 23;08:30;6.5;6.5;3;4.9;44.330;7.550;Boves (CN);S (epicentral parameters based on a single intensity datapoint);MEDIUM
1835 10 12;22:35;9;10;36;5.8;39.331;16.293;Cosentino;;HIGH
1836 04 25;00:20;9;10;44;6.2;39.567;16.737;Calabria settentrionale;;HIGH
1836 05 15;08:00;7;7;1;5.1;39.574;16.635;Rossano (CS);S (epicentral parameters based on a single intensity datapoint);HIGH
1836 06 12;02:30;8;8;27;5.6;45.808;11.823;Prealpi venete;;LOW
1836 11 20;07:30;8;9;17;6;40.143;15.776;Basilicata meridionale;;HIGH
1837 04 11;17:00;9;10;60;5.8;44.175;10.181;Alpi Apuane;;MEDIUM
1838 01 05;14:00;7;7;8;5;42.764;12.787;Valnerina;;MEDIUM
1838 02 14;07:30;8;8;24;5.3;42.841;12.908;Valnerina;;MEDIUM
1841 06 10;-;7;7.5;11;5;42.083;14.080;Valle dell’Aventino;;LOW
1843 10 25;03:30;6.5;7;17;5.1;44.004;11.261;Mugello;;LOW
1846 04 22;19:45;6;6.5;9;5;37.538;14.923;Catanese;;LOW
1846 08 14;12:00;9;10;121;5.9;43.471;10.562;Toscana settentrionale;;MEDIUM
1848 01 11;12:00;7.5;8.5;41;5.5;37.543;15.095;Golfo di Catania;;LOW
1849 01 06;03:00;6;6;4;4.7;44.097;11.414;Alta valle del Santerno;;LOW
1849 11 28;18:00;6;6.5;7;4.7;44.454;9.792;Valle del Taro;;LOW
1851 08 14;13:20;10;10;103;6.4;40.953;15.667;Basilicata;;HIGH
1851 08 14;14:40;7.5;8.5;10;5.6;40.994;15.653;Melfi (PZ);;HIGH
1853 04 09;12:45;8;9;47;5.6;40.818;15.215;Irpinia;;HIGH
1854 02 12;17:50;10;10;89;6.2;39.257;16.295;Cosentino;;HIGH
1854 02 12;05:00;8;8;21;5.6;43.035;12.584;Valle del Topino;;MEDIUM
